name,id,height,weight,base_experience
bulbasaur,1,7,69,64
ivysaur,2,10,130,142
venusaur,3,20,1000,236
charmander,4,6,85,62
charmeleon,5,11,190,142
charizard,6,17,905,240
squirtle,7,5,90,63
wartortle,8,10,225,142
blastoise,9,16,855,239
caterpie,10,3,29,39
metapod,11,7,99,72
butterfree,12,11,320,178
weedle,13,3,32,39
kakuna,14,6,100,72
beedrill,15,10,295,178
pidgey,16,3,18,50
pidgeotto,17,11,300,122
pidgeot,18,15,395,216
rattata,19,3,35,51
raticate,20,7,185,145
spearow,21,3,20,52
fearow,22,12,380,155
ekans,23,20,69,58
arbok,24,35,650,157
pikachu,25,4,60,112
raichu,26,8,300,218
sandshrew,27,6,120,60
sandslash,28,10,295,158
nidoran-f,29,4,70,55
nidorina,30,8,200,128
nidoqueen,31,13,600,227
nidoran-m,32,5,90,55
nidorino,33,9,195,128
nidoking,34,14,620,227
clefairy,35,6,75,113
clefable,36,13,400,217
vulpix,37,6,99,60
ninetales,38,11,199,177
jigglypuff,39,5,55,95
wigglytuff,40,10,120,196
zubat,41,8,75,49
golbat,42,16,550,159
oddish,43,5,54,64
gloom,44,8,86,138
vileplume,45,12,186,221
paras,46,3,54,57
parasect,47,10,295,142
venonat,48,10,300,61
venomoth,49,15,125,158
diglett,50,2,8,53
dugtrio,51,7,333,149
meowth,52,4,42,58
persian,53,10,320,154
psyduck,54,8,196,64
golduck,55,17,766,175
mankey,56,5,280,61
primeape,57,10,320,159
growlithe,58,7,190,70
arcanine,59,19,1550,194
poliwag,60,6,124,60
poliwhirl,61,10,200,135
poliwrath,62,13,540,230
abra,63,9,195,62
kadabra,64,13,565,140
alakazam,65,15,480,225
machop,66,8,195,61
machoke,67,15,705,142
machamp,68,16,1300,227
bellsprout,69,7,40,60
weepinbell,70,10,64,137
victreebel,71,17,155,221
tentacool,72,9,455,67
tentacruel,73,16,550,180
geodude,74,4,200,60
graveler,75,10,1050,137
golem,76,14,3000,223
ponyta,77,10,300,82
rapidash,78,17,950,175
slowpoke,79,12,360,63
slowbro,80,16,785,172
magnemite,81,3,60,65
magneton,82,10,600,163
farfetchd,83,8,150,132
doduo,84,14,392,62
dodrio,85,18,852,165
seel,86,11,900,65
dewgong,87,17,1200,166
grimer,88,9,300,65
muk,89,12,300,175
shellder,90,3,40,61
cloyster,91,15,1325,184
gastly,92,13,1,62
haunter,93,16,1,142
gengar,94,15,405,225
onix,95,88,2100,77
drowzee,96,10,324,66
hypno,97,16,756,169
krabby,98,4,65,65
kingler,99,13,600,166
voltorb,100,5,104,66
